"","time","tavg","tmin","tmax","prcp","snow","wdir","wspd","wpgt","pres"
"164","1973-06-13",17.7,13.5,23.5,0,0,182.2,17.7,40.7,1010.2
"165","1973-06-14",17,11.3,23.5,0,0,177.9,17.5,29.5,NA
"166","1973-06-15",18,11.9,25.2,0,0,178,13.8,37.1,1016
"167","1973-06-16",17.8,13,24.7,0,0,178.9,23.2,51.8,NA
"168","1973-06-17",17.4,9.7,25.2,0,0,324.2,12.1,35.3,1017.6
"169","1973-06-18",21,9.7,31.3,0,0,NA,9.7,42.5,1017
"170","1973-06-19",25.8,13.5,36.4,0,0,NA,4.5,20.5,1014.4
"171","1973-06-20",28.4,16.3,38.5,0,0,NA,4.1,14.8,NA
"172","1973-06-21",30.8,20.2,40.2,0,0,NA,5.6,27.7,NA
"173","1973-06-22",22.9,16.3,31.3,0,0,181.1,15.3,37.1,1012.9
"174","1973-06-23",20.7,15.2,26.3,0,0,NA,11,27.7,1013.1
"175","1973-06-24",25.4,16.9,33.5,0,0,NA,6,27.7,1012.8
"176","1973-06-25",27.6,18,37.4,0,0,NA,10,24.1,NA
"177","1973-06-26",30.7,21.3,40.2,0,0,NA,7.4,27.7,1010.9
"178","1973-06-27",31.9,23.5,40.2,0,0,213.2,11.8,33.5,1009.4
"179","1973-06-28",27.7,21.3,35.8,0,0,184.6,17.1,35.3,NA
"180","1973-06-29",23.1,16.3,31.3,0,0,176.6,19.9,38.9,1007.7
"181","1973-06-30",22.1,15.8,30.8,0,0,167.9,17,37.1,NA
"182","1973-07-01",23.4,10.8,34.7,0,0,NA,7.4,29.5,NA
"183","1973-07-02",25.2,16.9,34.7,0,0,184.8,11,29.5,1011.5
"184","1973-07-03",26,15.8,36.9,0,0,NA,7.6,24.1,1014
"185","1973-07-04",28.9,15.8,40.8,0,0,NA,5.8,27.7,1013.7
"186","1973-07-05",27.6,19.1,37.4,0,0,188.7,11.7,44.3,1008.7
"187","1973-07-06",22.4,14.7,31.9,0,0,176.2,18.5,35.3,1009.5
"188","1973-07-07",23.3,15.2,33.5,0,0,177.5,13.2,35.3,1010.7
"189","1973-07-08",25.1,16.3,35.8,0,0,NA,10.9,27.7,1012.6
"190","1973-07-09",28.7,19.1,38.5,0,0,194.2,8.1,24.1,NA
"191","1973-07-10",28.1,19.7,38.5,0,0,182.2,12,27.7,NA
"192","1973-07-11",25.7,18,36.9,0,0,181.7,12.6,42.5,1009.7
"193","1973-07-12",25.4,15.8,35.8,0,0,NA,9.2,29.5,NA
"194","1973-07-13",24.4,17.4,34.1,0,0,181.9,14.2,37.1,1008.5
"195","1973-07-14",22.1,15.2,31.3,0,0,174.4,18.4,38.9,1010.9
"196","1973-07-15",20.5,15.2,27.4,0,0,174.8,20,40.7,1012.5
"197","1973-07-16",20.7,15.2,28,0,0,177,17.5,40.7,1012.4
"198","1973-07-17",20.6,14.7,29.1,0,0,180.8,17.3,40.7,1012.6
"199","1973-07-18",19.6,13,29.1,0,0,174.1,17.4,44.3,1013.9
"200","1973-07-19",19.2,13.5,27.4,0,0,169.8,19.7,51.8,1015.1
"201","1973-07-20",18.6,13.5,25.8,0,0,172.7,20.1,44.3,NA
"202","1973-07-21",20.8,13,29.7,0,0,174.8,11.7,37.1,1012.6
"203","1973-07-22",24.3,16.3,33,0,0,NA,10.2,38.9,1009.4
"204","1973-07-23",22.4,14.7,31.3,0,0,176.8,14.7,29.5,1012.5
"205","1973-07-24",25.2,13.5,36.3,0,0,NA,8.9,25.9,1015.5
"206","1973-07-25",29,16.9,39.1,0,0,NA,6.4,22.3,NA
"207","1973-07-26",30.1,19.1,39.7,0,0,NA,6.9,27.7,NA
"208","1973-07-27",27.4,20.2,36.3,0,0,167,15.3,37.1,1009.8
"209","1973-07-28",24.9,18,34.1,0,0,164.2,13.9,33.5,1010.8
"210","1973-07-29",24.8,15.8,35.8,0,0,175,13.6,27.7,NA
"211","1973-07-30",25.6,15.8,36.9,0,0,174.5,11.2,29.5,NA
"212","1973-07-31",28,18.5,38.5,0,0,164.1,9.1,27.7,1013.8
"213","1973-08-01",27.1,19.1,37.4,0,0,180.8,14,37.1,1013.3
"214","1973-08-02",24.4,13.5,35.8,0,0,185.2,9.8,24.1,1011.4
"215","1973-08-03",26,15.8,36.4,0,0,NA,9.8,29.5,NA
"216","1973-08-04",26.2,18.5,35.2,0,0,179,14.2,31.3,NA
"217","1973-08-05",23.8,16.9,31.9,0,0,182.1,19.3,38.9,1012.1
"218","1973-08-06",21.8,15.2,30.3,0,0,174.8,19.8,38.9,1012.4
"219","1973-08-07",20.4,14.1,29.7,0,0,176.1,16.3,37.1,NA
"220","1973-08-08",20.2,14.1,28.5,0,0,174.6,19.4,38.9,1014.8
"221","1973-08-09",20.8,14.1,29.7,0,0,178.6,15.8,29.5,NA
"222","1973-08-10",23.9,15.2,34.1,0,0,NA,9.2,27.7,NA
"223","1973-08-11",25.4,18.5,35.2,0,0,197.5,15.2,38.9,1010.1
"224","1973-08-12",21.9,13,33,0,0,173.4,14,38.9,1011.9
"225","1973-08-13",24.6,13,35.8,0,0,NA,8.7,22.3,1013
"226","1973-08-14",27.5,16.3,37.4,0,0,NA,8.5,24.1,1012.2
"227","1973-08-15",26.1,17.4,36.9,0,0,165.4,14.8,33.5,NA
"228","1973-08-16",25.1,16.9,35.2,0,0,173.1,12.7,29.5,1011
"229","1973-08-17",23.4,15.2,33.5,0,0,174.2,11.5,33.5,1010.8
"230","1973-08-18",21.8,13,33,0,0,187.1,12,29.5,1012.4
"231","1973-08-19",24,14.7,34.1,0,0,177.7,13.2,33.5,1013.7
"232","1973-08-20",24,16.3,34.1,0,0,184.1,12.2,27.7,1014.6
"233","1973-08-21",21.3,15.2,30.2,0,0,175.3,20.8,44.3,1015.2
"234","1973-08-22",17.8,11.9,26.4,0,0,175.7,19.8,44.3,NA
"235","1973-08-23",17.7,11.3,25.8,0,0,180.2,17,40.7,1015.9
"236","1973-08-24",19.1,9.7,27.4,0,0,NA,10.3,37.1,1013.6
"237","1973-08-25",19.3,13.5,26.3,0,0,NA,16,33.5,NA
"238","1973-08-26",18.4,12.4,26.3,0,0,171.1,14.6,44.3,NA
"239","1973-08-27",18.2,12.4,25.8,0,0,NA,12.9,38.9,NA
"240","1973-08-28",22.2,14.1,31.9,0,0,NA,7.9,22.3,1012.3
"241","1973-08-29",25.3,16.9,34.7,0,0,NA,10.8,29.5,NA
"242","1973-08-30",22.6,16.3,31.9,0,0,168.7,19.1,37.1,1008.4
"243","1973-08-31",19.2,14.1,26.3,0,0,181.2,21.6,42.5,1008.5
"244","1973-09-01",20.6,10.2,31.3,0,0,NA,10.4,38.9,NA
"245","1973-09-02",21.8,10.8,32.4,0,0,NA,4.9,24.1,1012.4
"246","1973-09-03",22.7,11.3,33.5,0,0,223.8,6.4,22.3,1012
"247","1973-09-04",19.9,13.5,29.1,0,0,192,15,51.8,1009.5
"248","1973-09-05",17.6,13.5,23.5,0,0,164.9,19.9,44.3,NA
"249","1973-09-06",20,11.9,29.7,0,0,NA,5.6,18.4,NA
"250","1973-09-07",22.8,14.1,31.3,0,0,NA,10.8,42.5,1010.8
"251","1973-09-08",24.6,14.7,34.7,0,0,346.4,18.8,51.8,NA
"252","1973-09-09",25.5,15.2,35.8,0,0,298.6,9.1,37.1,1009.8
"253","1973-09-10",19.9,14.1,27.4,0,0,172.4,20,38.9,1013.5
"254","1973-09-11",20.2,13.5,30.2,0,0,165.7,12.7,29.5,1014.7
"255","1973-09-12",20.9,13.5,30.8,0,0,167.8,11.2,27.7,1012
"256","1973-09-13",18.1,12.4,26.9,0,0,168.3,17.6,48.2,NA
"257","1973-09-14",18.4,13,25.8,0,0,193.9,13.2,31.3,NA
"258","1973-09-15",18.5,11.3,27.4,0,0,174.2,9.6,29.5,1013.3
"259","1973-09-16",17.4,11.3,25.8,0,0,178.7,15,31.3,NA
"260","1973-09-17",18.5,12.4,26.9,0,0,168.4,11.5,24.1,NA
"261","1973-09-18",20,14.1,27.4,0,0,169.8,12.1,29.5,NA
"262","1973-09-19",20.7,16.3,27.4,0,0,177.7,20.6,40.7,1015
"263","1973-09-20",21.2,16.3,26.9,0.3,0,NA,8.6,33.5,NA
"264","1973-09-21",19,11.3,28,0,0,NA,5.4,27.7,NA
"265","1973-09-22",16.8,15.2,21.9,7.9,0,166.4,20.1,46.4,NA
"266","1973-09-23",18.8,15.8,24.1,0,0,188.4,9.5,35.3,1014.7
"267","1973-09-24",18.2,15.2,25.2,0.3,0,NA,15.4,33.5,NA
"268","1973-09-25",19.3,11.3,28,0,0,351.5,16,50,1014.1
"269","1973-09-26",20.1,9.7,29.7,0,0,NA,4.5,18.4,NA
"270","1973-09-27",22.1,12.4,33.5,0,0,NA,3.7,22.3,NA
"271","1973-09-28",22.5,11.9,33.5,0,0,NA,3.9,22.3,1015.9
"272","1973-09-29",23.9,15.8,33,0,0,NA,4.7,20.5,NA
"273","1973-09-30",20.6,15.2,28.5,0,0,171.5,16.4,31.3,NA
"274","1973-10-01",17.6,13,24.1,0,0,188.9,15.1,33.5,NA
"275","1973-10-02",15.5,11.9,23,0,0,NA,9.9,29.5,1016.4
"276","1973-10-03",17.3,8,29.1,0,0,NA,5.7,20.5,1017.1
"277","1973-10-04",18.4,8.5,28,0,0,NA,2,16.6,NA
"278","1973-10-05",18.6,8.5,29.1,0,0,NA,4.4,29.5,1009.8
"279","1973-10-06",16.7,13.5,20.8,3.6,0,195.1,18.9,53.6,1011.1
"280","1973-10-07",14.6,13.5,15.2,10.2,0,168.8,18.4,33.5,NA
"281","1973-10-08",14.5,11.9,18.5,0,0,NA,10.1,29.5,1013.1
"282","1973-10-09",15.9,9.1,24.1,0,0,NA,12.2,40.7,NA
"283","1973-10-10",14.3,6.3,22.4,0,0,NA,3.1,18.4,NA
"284","1973-10-11",15.6,9.1,23.5,0,0,NA,1.7,22.3,1012.3
"285","1973-10-12",16.6,9.7,25.2,0,0,NA,2.9,18.4,1014
"286","1973-10-13",18.8,11.3,28,0,0,NA,2,16.6,NA
"287","1973-10-14",19.1,11.3,29.7,0,0,NA,1.4,14.8,NA
"288","1973-10-15",20.3,12.4,29.7,0,0,NA,3.2,18.4,1016
"289","1973-10-16",19,11.3,29.7,0,0,NA,1,14.8,NA
"290","1973-10-17",19.2,10.8,29.1,0,0,NA,1.3,14.8,NA
"291","1973-10-18",19.5,13,29.1,0,0,NA,3.2,14.8,NA
"292","1973-10-19",19.3,13.5,26.3,0.8,0,NA,8.2,50,1014.2
"293","1973-10-20",18.8,15.2,24.1,0,0,NA,4.8,22.3,1013.1
"294","1973-10-21",19.3,16.3,24.1,0,0,178.9,12.4,35.3,NA
"295","1973-10-22",16.4,12.4,19.7,26.9,0,143.6,24.3,64.8,1009.6
"296","1973-10-23",15,10.2,19.1,0.3,0,NA,14.3,42.5,1019.8
"297","1973-10-24",13.3,6.9,20.8,0,0,NA,3.4,25.9,1021.1
"298","1973-10-25",13.2,8.5,20.2,0,0,NA,4.2,25.9,NA
"299","1973-10-26",13.3,6.9,21.3,0,0,NA,1.6,20.5,NA
"300","1973-10-27",14.7,8.5,23.5,0,0,NA,1.4,13,NA
"301","1973-10-28",15.2,7.4,24.7,0,0,NA,5.2,50,1021.4
"302","1973-10-29",15.9,8,24.7,0,0,336.6,12.8,53.6,1020.7
"303","1973-10-30",15.4,6.9,23,0,0,NA,4.4,20.5,1021
"304","1973-10-31",16.6,8.5,24.7,0,0,NA,7.4,22.3,1015.9
"305","1973-11-01",14.6,9.1,20.8,0,0,252.9,10.2,29.5,1011.5
"306","1973-11-02",11.5,5.8,17.5,0,0,264.4,5.9,31.3,1014.7
