"","GCM","var","from_year","to_year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","annual_avg"
"36","gfdl_cm2_1","tas",1960,1979,-6.43722214544301,-5.63528446187999,-2.82958390766212,3.10917933742227,9.84263447216982,15.5739468315269,18.1628532124259,16.8360035579978,11.9215222594166,5.73985073631819,-0.499222676950719,-4.98225950778432,5.06686814229645
"37","ingv_echam4","tas",1960,1979,-2.80038729926842,-1.87984171651133,1.04837458508227,6.03145936123884,11.8656265372941,17.2729941960289,20.3626669410438,19.9711635522978,15.9953610998128,9.72692871093788,3.10312848554731,-1.64307378830789,8.25453338876633
"38","inmcm3_0","tas",1960,1979,-5.10940456628309,-3.70473676191536,-0.622055738644398,4.94418730700157,10.578282915147,15.239764054221,17.4573683132244,16.6046507114794,12.8414190201998,7.16073083282929,1.18097791410187,-2.53546249123197,6.16964345917745
"39","ipsl_cm4","tas",1960,1979,-2.38820067902851,-2.49156242237592,0.656418607715783,4.91513076744139,10.5831855907109,15.3664049257943,18.2912253667588,17.2584997162856,12.8096497647489,7.1034093842543,1.87554117331224,-1.81210159720377,6.84730004986784
"40","miroc3_2_medres","tas",1960,1979,-3.61593723059331,-3.18363237262129,0.143824513118642,5.57170397979708,12.0870304250352,17.0765416628106,19.3326502012788,18.2478440586781,14.0743287198281,8.22213638572189,2.2619795573322,-1.99805627380634,7.35170113554831
"41","miub_echo_g","tas",1960,1979,-5.09178488867026,-4.17743083544893,-0.490569307322931,3.85291718366446,8.88793671339294,13.3437444444305,16.2926686731639,16.0426702713405,12.9566514926054,7.37326224842836,1.39090997025294,-3.1379018579041,5.6035895089944
"42","mpi_echam5","tas",1960,1979,-5.28469989424602,-3.90563546273486,0.108438468038801,5.58781155327147,10.9582335360315,15.7736262371416,17.7211143132148,16.761711367944,12.9410028243582,7.00892566861676,0.546039153216151,-3.83835356372243,6.19818451676083
"43","mri_cgcm2_3_2a","tas",1960,1979,-6.27591322901364,-4.97067683117816,-1.49351535711479,4.53627558301465,10.6711434913706,15.1960790163257,17.5795494326898,16.1150534765383,11.9495854936648,6.14959922276823,-0.194825550565386,-4.83425933761752,5.36900795090689
"44","ukmo_hadcm3","tas",1960,1979,-7.3292044546825,-6.47852780158993,-2.15975567824916,4.43247670009544,10.4714346336318,15.0140233218222,17.5441899097472,16.7854602081216,12.5677310629659,6.51991306219393,-0.341692689054262,-5.24511494243987,5.14841111104686
"45","ukmo_hadgem1","tas",1960,1979,-9.17344296424705,-8.49011405507265,-4.16889580705215,2.31934727694849,9.10440725578471,15.477975441036,18.6523890316909,17.9414013793637,13.6777902351055,6.09929879585659,-1.22421980023104,-7.16460884836233,4.42094399506838
"46","bccr_bcm2_0","tas",1980,1999,-9.621845312,-8.451683216,-3.776517949,2.673571047,9.254254044,14.92307569,18.22624865,17.89172173,13.54530909,6.4140625,-0.960047543,-6.717318604,4.45006917725
"47","cccma_cgcm3_1","tas",1980,1999,-6.553893777,-5.332240573,-2.262895617,4.144794417,10.43134656,15.54186235,18.57953779,18.14592166,13.77229693,7.328321195,1.313856624,-3.455933721,5.97108115316667
"48","cnrm_cm3","tas",1980,1999,-5.330243422,-4.215476514,-0.709827299,4.470434098,10.08891696,15.22743937,18.26270094,18.04942866,14.16615923,7.522808731,1.039261207,-3.413833466,6.26314737458333
"49","csiro_mk3_5","tas",1980,1999,-0.139015673,0.73596492,3.229521754,7.71419078,14.06583068,19.51112963,22.76577698,22.15372427,17.0463237,10.20206655,3.977919961,1.121230356,10.1987219923333
"50","gfdl_cm2_0","tas",1980,1999,-7.63332266105959,-6.17665267525984,-3.0938516745247,2.30682654630559,8.53194710976413,13.6556636972012,16.3835207970067,15.5811626786285,10.8232360992026,4.62551948376067,-1.79660555489937,-6.48363230412679,3.89365096183325
"51","gfdl_cm2_1","tas",1980,1999,-6.5576549349291,-5.17588501737543,-1.9773760484039,3.21039008618556,9.84792253679868,15.7965912854581,18.2504095900368,17.1663460672054,12.3087768554684,5.99736704077173,-0.340646111163468,-5.08805078520868,5.28651588040368
"52","ingv_echam4","tas",1980,1999,-2.69071888150786,-1.6851125132114,1.4117349829164,6.44002207615637,12.2465859125377,17.5638303685336,20.7717161107234,20.3619770611324,16.5260999874577,10.0798234820658,3.3730390743731,-1.34718364610946,8.58765116792232
"53","inmcm3_0","tas",1980,1999,-4.11451801100396,-2.77226645453157,-0.0465738577131655,5.49455683605821,11.0453773555617,15.8208193505471,17.9641669599193,17.142590986521,13.2183348543915,7.53343798097626,1.55148863376056,-2.58334049976463,6.68783951122686
"54","ipsl_cm4","tas",1980,1999,-2.23259634270151,-1.49800418083112,1.65472800238218,5.66178540160733,10.8965096414257,15.6932280200364,18.6416063570322,17.6811685538361,13.3107329485108,7.52195332591345,2.11965036748998,-1.41328342656541,7.336456555678
"55","miroc3_2_medres","tas",1980,1999,-3.77762917687592,-2.88690912337038,-0.0309428455243962,5.7945120566504,12.1106165555346,17.1502678697541,19.4217296419593,18.4117042750775,14.2408369639866,8.25736272721363,2.52766346158351,-1.69789572547075,7.46010972337653
"56","miub_echo_g","tas",1980,1999,-4.66836232021346,-4.21970323672195,-0.868701278420646,4.25405876178704,8.94795459167121,13.4869441082353,16.3725594308907,16.1994774264271,13.021979048959,7.58129182658498,1.61511812662039,-2.73219599925996,5.74920170721331
"57","mpi_echam5","tas",1980,1999,-4.39333973263759,-3.23545373169941,0.517255293163612,5.91256835633015,11.2722385625283,15.6168734961893,17.7647893054241,16.8990152030817,13.2590143294118,7.12562823592494,0.980127615227248,-3.33355903149935,6.53209649178706
"58","mri_cgcm2_3_2a","tas",1980,1999,-5.97321789520423,-4.37538637841395,-0.708088063837013,5.05456843578384,11.0153799461308,15.5733875455399,18.1269157580897,16.5971172836956,12.704374013694,6.82066364240718,0.464124379905941,-4.35243472434639,5.91228366195377
"59","ukmo_hadcm3","tas",1980,1999,-6.7601522697772,-5.38916989752169,-0.945988300732702,5.10682712469418,10.9016531851532,15.6551073031545,18.1109804072575,17.4551452484486,13.4777290934028,6.88484553387022,0.214572973084367,-4.74527186824229,5.83052321106596
"60","ukmo_hadgem1","tas",1980,1999,-8.82054050664418,-7.89700808251787,-3.76051345787063,2.91382425741208,9.79525673121925,16.0273398687101,19.3963963230325,18.6050326758758,14.2023083313436,6.74719862331389,-0.835305496939427,-6.30480991278008,5.00576494617959
