"","time","tavg","tmin","tmax","prcp","snow","wdir","wspd","wpgt","pres"
"165","1973-06-14",17.1,14.2,20.9,0,0,247.2,16.3,38.9,1013.8
"166","1973-06-15",16.9,12.6,21.5,0,0,231.2,13.5,37.1,1015.6
"167","1973-06-16",17.6,13.1,22,0,0,NA,11.7,37.1,1015.2
"168","1973-06-17",17.9,14.2,22.6,0,0,NA,12.3,33.5,1013.1
"169","1973-06-18",18.9,14.2,23.1,0,0,212.9,10.5,27.7,1011.4
"170","1973-06-19",21.6,16.5,28.1,0,0,233.1,11.4,37.1,1012.4
"171","1973-06-20",25.1,18.1,33.1,0,0,217.1,11.2,35.3,1012
"172","1973-06-21",24.7,17,32,0,0,195.8,12,29.5,1011.9
"173","1973-06-22",19.2,15.9,22.6,0,0,252.6,13.2,40.7,1012.1
"174","1973-06-23",19.4,15.9,24.8,0,0,233,12.6,40.7,1011
"175","1973-06-24",19.5,15.9,24.2,0,0,230.8,12.2,31.3,1011.9
"176","1973-06-25",18.7,15.4,23.1,0,0,213.6,9.6,29.5,1012.3
"177","1973-06-26",19.3,17,25.4,0,0,241.6,12.1,37.1,1013.4
"178","1973-06-27",18.8,15.4,22.6,0,0,238.3,12.5,35.3,1012.8
"179","1973-06-28",17.9,15.4,22,0,0,250.6,12.7,27.7,1010.8
"180","1973-06-29",18.2,15.9,22,0,0,249.2,11,27.7,1010.5
"181","1973-06-30",18.8,17,23.1,0,0,231.1,10.7,33.5,1010
"182","1973-07-01",18.9,15.4,22,0,0,229.8,13.3,35.3,1009.3
"183","1973-07-02",18.9,14.8,22.6,0,0,223.4,12.7,37.1,1010.8
"184","1973-07-03",20.9,15.4,30.4,0,0,160,9.8,29.5,1011.6
"185","1973-07-04",21.5,18.1,29.8,0,0,131.5,11.1,25.9,1013.9
"186","1973-07-05",19.8,17,23.1,0,0,228.4,11.3,27.7,1011.1
"187","1973-07-06",18.6,16.5,22,0,0,221.4,10.7,24.1,1011.7
"188","1973-07-07",19.1,17,23.1,0,0,248.8,12,29.5,1012.8
"189","1973-07-08",18.9,17,23.7,0,0,161.4,11.7,29.5,1014.5
"190","1973-07-09",18.1,15.9,22,0,0,269.1,12.8,33.5,1015.1
"191","1973-07-10",18.4,15.9,22,0,0,248.1,11.4,29.5,1014
"192","1973-07-11",19.2,17,23.1,0,0,258.3,11.9,29.5,1012.8
"193","1973-07-12",19.5,17,23.7,0,0,189.2,11.2,29.5,1012.7
"194","1973-07-13",19.3,17.6,22,0,0,208.1,13.1,29.5,1012.9
"195","1973-07-14",19.3,16.5,23.1,0,0,261.1,14.9,37.1,1014.6
"196","1973-07-15",18.5,15.9,22.6,0,0,253.6,16,37.1,1015.2
"197","1973-07-16",18.9,16.5,22.6,0,0,249.7,14,33.5,1014.4
"198","1973-07-17",18.7,15.9,22,0,0,235.7,13.6,33.5,1014.4
"199","1973-07-18",18.3,15.9,22,0,0,255.5,13.1,29.5,1015.8
"200","1973-07-19",17.9,15.4,22,0,0,236.3,13.5,33.5,1016.6
"201","1973-07-20",18.1,15.9,22.6,0,0,219.3,13.8,37.1,1015
"202","1973-07-21",17.9,14.2,22,0,0,187.1,12.5,35.3,1011.2
"203","1973-07-22",18.5,15.4,22,0,0,219.6,11.4,27.7,1009.1
"204","1973-07-23",18.4,15.9,22,0,0,262.8,10.5,27.7,1010.8
"205","1973-07-24",19.1,14.2,23.1,0,0,192.4,10.2,25.9,1012.2
"206","1973-07-25",20.3,16.5,24.2,0,0,201.2,10.1,25.9,1012.8
"207","1973-07-26",20.5,17.6,27,0,0,210.3,10.1,25.9,1013.1
